summary_level,bucket,config,l1_prefetcher,l2_prefetcher,traces,geomean_ipc,mean_ipc,geomean_speedup_vs_matching_no_l2,geomean_speedup_vs_l1_no_l2_no,total_l2_pf_issued,total_l2_pf_useful,total_l2_pf_accuracy
SUITE,ai-ml,1C.fullBW.l1_berti.l2_no,berti,no,80,1.726222,2.003983,1,1.228426,0,0,
SUITE,gtrace_v2/arizona,1C.fullBW.l1_berti.l2_no,berti,no,6,1.504872,1.810033,1,1.399396,0,0,
SUITE,gtrace_v2/bravo,1C.fullBW.l1_berti.l2_no,berti,no,3,0.314483,0.316667,1,1.032804,0,0,
SUITE,gtrace_v2/charlie,1C.fullBW.l1_berti.l2_no,berti,no,22,0.794905,0.811795,1,1.103269,0,0,
SUITE,gtrace_v2/delta,1C.fullBW.l1_berti.l2_no,berti,no,4,0.701114,0.720125,1,1.110999,0,0,
SUITE,gtrace_v2/merced,1C.fullBW.l1_berti.l2_no,berti,no,89,0.593953,0.609862,1,1.082234,0,0,
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_berti.l2_no,berti,no,17,0.451919,0.462129,1,1.014194,0,0,
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_berti.l2_no,berti,no,24,0.351349,0.355154,1,1.023258,0,0,
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_berti.l2_no,berti,no,18,0.479955,0.48415,1,1.068796,0,0,
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_berti.l2_no,berti,no,40,0.561753,0.592035,1,1.087223,0,0,
SUITE,gtrace_v2/tango,1C.fullBW.l1_berti.l2_no,berti,no,51,0.575029,0.584096,1,1.009871,0,0,
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_berti.l2_no,berti,no,2,0.496152,0.49835,1,1.211838,0,0,
SUITE,gtrace_v2/yankee,1C.fullBW.l1_berti.l2_no,berti,no,83,0.506895,0.514083,1,1.013192,0,0,
SUITE,Graph/GAP,1C.fullBW.l1_berti.l2_ppf,berti,ppf,19,0.342067,0.399832,0.968428,1.36799,2843882,171313,0.060239
SUITE,Graph/GMS,1C.fullBW.l1_berti.l2_ppf,berti,ppf,43,1.264476,1.438095,0.9953,1.098877,1925566,32437,0.016845
SUITE,Graph/Ligra,1C.fullBW.l1_berti.l2_ppf,berti,ppf,17,1.20567,1.305682,0.98003,1.762994,777328,55827,0.071819
SUITE,SPEC17,1C.fullBW.l1_berti.l2_ppf,berti,ppf,92,1.585199,1.873514,0.984479,1.279135,7758162,256398,0.033049
SUITE,ai-ml,1C.fullBW.l1_berti.l2_ppf,berti,ppf,80,1.673098,1.951059,0.969225,1.190622,28314976,657851,0.023233
SUITE,gtrace_v2/arizona,1C.fullBW.l1_berti.l2_ppf,berti,ppf,6,1.499797,1.801533,0.996628,1.394677,150553,8990,0.059713
SUITE,gtrace_v2/bravo,1C.fullBW.l1_berti.l2_ppf,berti,ppf,3,0.307978,0.310167,0.979315,1.011441,275859,2301,0.008341
SUITE,gtrace_v2/charlie,1C.fullBW.l1_berti.l2_ppf,berti,ppf,22,0.791819,0.808386,0.996118,1.098986,745254,29610,0.039731
SUITE,gtrace_v2/delta,1C.fullBW.l1_berti.l2_ppf,berti,ppf,4,0.695524,0.71465,0.992027,1.102141,253483,9861,0.038902
SUITE,gtrace_v2/merced,1C.fullBW.l1_berti.l2_ppf,berti,ppf,89,0.583469,0.599156,0.982349,1.063131,5488473,78703,0.01434
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_berti.l2_ppf,berti,ppf,17,0.442434,0.453059,0.979012,0.992909,833461,10022,0.012025
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_berti.l2_ppf,berti,ppf,24,0.34348,0.347258,0.977603,1.00034,1302957,18578,0.014258
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_berti.l2_ppf,berti,ppf,18,0.465897,0.47045,0.970711,1.037491,1266214,21626,0.017079
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_berti.l2_ppf,berti,ppf,40,0.553407,0.583462,0.985143,1.071071,1873844,52137,0.027824
SUITE,gtrace_v2/tango,1C.fullBW.l1_berti.l2_ppf,berti,ppf,51,0.562985,0.572225,0.979055,0.98872,2173461,20188,0.009288
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_berti.l2_ppf,berti,ppf,2,0.49305,0.4952,0.993746,1.204259,104538,3135,0.029989
SUITE,gtrace_v2/yankee,1C.fullBW.l1_berti.l2_ppf,berti,ppf,83,0.491522,0.498449,0.969673,0.982464,4069942,86645,0.021289
SUITE,Graph/GAP,1C.fullBW.l1_berti.l2_pythia,berti,pythia,19,0.34486,0.417411,0.976337,1.379162,77007548,8226008,0.106821
SUITE,Graph/GMS,1C.fullBW.l1_berti.l2_pythia,berti,pythia,43,1.282636,1.451191,1.009595,1.114658,13952416,1298304,0.093052
SUITE,Graph/Ligra,1C.fullBW.l1_berti.l2_pythia,berti,pythia,17,1.317549,1.433571,1.070971,1.92659,17056640,2344507,0.137454
SUITE,SPEC17,1C.fullBW.l1_berti.l2_pythia,berti,pythia,92,1.702783,1.994884,1.057504,1.374018,81666295,9522172,0.116599
SUITE,ai-ml,1C.fullBW.l1_berti.l2_pythia,berti,pythia,80,1.869044,2.137731,1.082737,1.330062,198296138,20460002,0.103179
SUITE,gtrace_v2/arizona,1C.fullBW.l1_berti.l2_pythia,berti,pythia,6,1.553219,1.845483,1.032127,1.444355,1916608,245633,0.12816
SUITE,gtrace_v2/bravo,1C.fullBW.l1_berti.l2_pythia,berti,pythia,3,0.309366,0.311867,0.983729,1.015999,2332987,173896,0.074538
SUITE,gtrace_v2/charlie,1C.fullBW.l1_berti.l2_pythia,berti,pythia,22,0.86496,0.884477,1.08813,1.2005,9974743,1199017,0.120205
SUITE,gtrace_v2/delta,1C.fullBW.l1_berti.l2_pythia,berti,pythia,4,0.774342,0.8005,1.104446,1.227038,3070095,401626,0.130819
SUITE,gtrace_v2/merced,1C.fullBW.l1_berti.l2_pythia,berti,pythia,89,0.60663,0.623091,1.021342,1.105331,49418031,3782459,0.07654
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_berti.l2_pythia,berti,pythia,17,0.449277,0.460894,0.994155,1.008266,6865146,560761,0.081682
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_berti.l2_pythia,berti,pythia,24,0.347472,0.351442,0.988966,1.011968,12214422,973252,0.079681
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_berti.l2_pythia,berti,pythia,18,0.482462,0.491,1.005223,1.074378,11166834,1073304,0.096115
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_berti.l2_pythia,berti,pythia,40,0.571239,0.618875,1.016886,1.105582,17540650,2120411,0.120886
SUITE,gtrace_v2/tango,1C.fullBW.l1_berti.l2_pythia,berti,pythia,51,0.568022,0.576418,0.987816,0.997566,14673003,1189059,0.081037
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_berti.l2_pythia,berti,pythia,2,0.525411,0.5302,1.058971,1.283301,1284379,137474,0.107035
SUITE,gtrace_v2/yankee,1C.fullBW.l1_berti.l2_pythia,berti,pythia,83,0.503951,0.511406,0.994192,1.007308,30041473,3160573,0.105207
SUITE,Graph/GAP,1C.fullBW.l1_berti.l2_umama,berti,umama,19,0.360358,0.431153,1.020213,1.441142,81435537,4998462,0.061379
SUITE,Graph/GMS,1C.fullBW.l1_berti.l2_umama,berti,umama,43,1.280944,1.450421,1.008263,1.113188,70865664,1381581,0.019496
SUITE,Graph/Ligra,1C.fullBW.l1_berti.l2_umama,berti,umama,17,1.321943,1.443259,1.074542,1.933015,32132715,2337662,0.07275
SUITE,SPEC17,1C.fullBW.l1_berti.l2_umama,berti,umama,91,1.701594,1.999023,1.054764,1.374327,146235963,9029061,0.061743
SUITE,ai-ml,1C.fullBW.l1_berti.l2_umama,berti,umama,80,1.954695,2.220325,1.132354,1.391014,260765788,22834033,0.087565
SUITE,gtrace_v2/arizona,1C.fullBW.l1_berti.l2_umama,berti,umama,6,1.559513,1.81965,1.03631,1.450208,10037720,280209,0.027916
SUITE,gtrace_v2/bravo,1C.fullBW.l1_berti.l2_umama,berti,umama,3,0.308664,0.309933,0.981498,1.013695,2112633,106902,0.050601
SUITE,gtrace_v2/charlie,1C.fullBW.l1_berti.l2_umama,berti,umama,22,0.866688,0.887291,1.090304,1.202898,21417648,1243551,0.058062
SUITE,gtrace_v2/delta,1C.fullBW.l1_berti.l2_umama,berti,umama,4,0.771597,0.79795,1.100529,1.222687,6048613,480060,0.079367
SUITE,gtrace_v2/merced,1C.fullBW.l1_berti.l2_umama,berti,umama,89,0.600113,0.616893,1.010371,1.093457,93746119,3792148,0.040451
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_berti.l2_umama,berti,umama,17,0.441286,0.452729,0.976471,0.990331,13240661,566063,0.042752
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_berti.l2_umama,berti,umama,24,0.339396,0.343287,0.965982,0.988449,21776781,991847,0.045546
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_berti.l2_umama,berti,umama,18,0.474606,0.483833,0.988857,1.056886,16413447,1090581,0.066444
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_berti.l2_umama,berti,umama,40,0.564752,0.615945,1.005339,1.093028,41909759,2094633,0.04998
SUITE,gtrace_v2/tango,1C.fullBW.l1_berti.l2_umama,berti,umama,51,0.548289,0.556757,0.953498,0.96291,29386979,1211974,0.041242
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_berti.l2_umama,berti,umama,2,0.527128,0.53135,1.062432,1.287495,2296267,150637,0.065601
SUITE,gtrace_v2/yankee,1C.fullBW.l1_berti.l2_umama,berti,umama,83,0.505213,0.512839,0.996683,1.00983,77506770,3792873,0.048936
SUITE,Graph/GAP,1C.fullBW.l1_no.l2_no,no,no,19,0.25005,0.270979,1,1,0,0,
SUITE,Graph/GMS,1C.fullBW.l1_no.l2_no,no,no,43,1.150699,1.345193,1,1,0,0,
SUITE,Graph/Ligra,1C.fullBW.l1_no.l2_no,no,no,17,0.683876,0.761188,1,1,0,0,
SUITE,SPEC17,1C.fullBW.l1_no.l2_no,no,no,92,1.239273,1.618078,1,1,0,0,
SUITE,ai-ml,1C.fullBW.l1_no.l2_no,no,no,80,1.40523,1.743486,1,1,0,0,
SUITE,gtrace_v2/arizona,1C.fullBW.l1_no.l2_no,no,no,6,1.075372,1.253683,1,1,0,0,
SUITE,gtrace_v2/bravo,1C.fullBW.l1_no.l2_no,no,no,3,0.304494,0.306867,1,1,0,0,
SUITE,gtrace_v2/charlie,1C.fullBW.l1_no.l2_no,no,no,22,0.720499,0.739027,1,1,0,0,
SUITE,gtrace_v2/delta,1C.fullBW.l1_no.l2_no,no,no,4,0.631066,0.646925,1,1,0,0,
SUITE,gtrace_v2/merced,1C.fullBW.l1_no.l2_no,no,no,89,0.548822,0.562116,1,1,0,0,
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_no.l2_no,no,no,17,0.445594,0.456365,1,1,0,0,
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_no.l2_no,no,no,24,0.343363,0.347054,1,1,0,0,
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_no.l2_no,no,no,18,0.449061,0.454517,1,1,0,0,
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_no.l2_no,no,no,40,0.516686,0.531485,1,1,0,0,
SUITE,gtrace_v2/tango,1C.fullBW.l1_no.l2_no,no,no,51,0.569408,0.577778,1,1,0,0,
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_no.l2_no,no,no,2,0.409422,0.4099,1,1,0,0,
SUITE,gtrace_v2/yankee,1C.fullBW.l1_no.l2_no,no,no,83,0.500295,0.506373,1,1,0,0,
SUITE,Graph/GAP,1C.fullBW.l1_no.l2_ppf,no,ppf,19,0.24676,0.268721,0.98684,0.98684,1562649,153222,0.098053
SUITE,Graph/GMS,1C.fullBW.l1_no.l2_ppf,no,ppf,43,1.145574,1.338353,0.995546,0.995546,509357,29600,0.058112
SUITE,Graph/Ligra,1C.fullBW.l1_no.l2_ppf,no,ppf,17,0.690228,0.768071,1.009288,1.009288,547156,131198,0.239782
SUITE,SPEC17,1C.fullBW.l1_no.l2_ppf,no,ppf,92,1.225203,1.609221,0.988646,0.988646,6548001,577227,0.088153
SUITE,ai-ml,1C.fullBW.l1_no.l2_ppf,no,ppf,80,1.358881,1.693829,0.967017,0.967017,25329824,1391346,0.054929
SUITE,gtrace_v2/arizona,1C.fullBW.l1_no.l2_ppf,no,ppf,6,1.085901,1.266617,1.009791,1.009791,84136,9407,0.111807
SUITE,gtrace_v2/bravo,1C.fullBW.l1_no.l2_ppf,no,ppf,3,0.299226,0.3013,0.982698,0.982698,274937,4389,0.015964
